Temp(C),Temp(K),Humidity,Pressure,Soil Moisture,Smoke Density,Air Density,Wind Speed,FFMC,DMC,DC,ISI,BUI,FWI,Risk
42.36,315.51,43.91,914.71,38.75,55.88,2.9,2.01,12.29,35.64,71.92,2.47,53.78,13.28,Medium
40.53,313.68,57.68,910.67,29.79,68.46,2.9,8.54,5.88,27.53,41.05,5.02,34.29,17.21,Medium
44.13,317.28,44.22,921.26,37.2,46.62,2.9,5.42,10.46,39.76,54.82,5.67,47.29,26.81,Medium
53.54,326.69,76.56,947.74,18.37,43.61,2.9,5.61,12.07,16.54,28.72,6.77,22.63,15.32,Medium
40.06,313.21,86.76,908.23,20.72,57.98,2.9,7.45,8.74,18.48,26.64,6.51,22.56,14.69,Medium
53.25,326.4,70.89,945.25,19.57,30.44,2.9,6,13.82,22.44,31.02,8.29,26.73,22.16,Medium
56.65,329.8,89.58,954.94,17.89,39.78,2.9,5.83,10.52,16.93,33.31,6.13,25.12,15.4,Medium
55.38,328.53,82.09,955.43,34.36,61.89,2.91,6.03,16.31,30.62,63.87,9.83,47.24,46.44,Extreme
37.46,310.61,86.08,903.69,32.7,41.45,2.91,7.97,15.31,20.04,59.98,12.2,40.01,48.81,Extreme
42.47,315.62,82.29,917.39,19.33,66.85,2.91,7.04,15.33,22.3,35.09,10.79,28.7,30.97,High
48.5,321.65,78.07,934.72,37.67,42.5,2.91,6.03,12.99,25.99,72.71,7.83,49.35,38.64,High
37.61,310.76,78.22,904.83,27.27,42.68,2.91,8.56,11.51,24.96,47.29,9.85,36.12,35.58,High
51.93,325.08,74.12,947.17,22.28,44.88,2.91,7.11,15.55,24.9,42.87,11.06,33.88,37.47,High
57.66,330.81,86.63,963.61,27.64,65.68,2.91,6.22,16.3,33.34,42.85,10.14,38.09,38.62,High
53.72,326.87,46.73,949.89,38.01,55.87,2.91,6.37,14.57,40.27,48.59,9.28,44.43,41.23,High
44.47,317.62,87.79,922.81,10.99,46.93,2.91,3.68,10.63,12.74,15.34,3.91,14.04,5.49,Low
50.44,323.59,76.82,941.55,5.11,53.94,2.91,2.69,8.22,3.07,7.7,2.21,5.38,1.19,Low
57.17,330.32,39.69,961.6,38.93,49.86,2.91,1.73,10.85,28.11,67.36,1.88,47.73,8.97,Low
42,315.15,80.35,918.27,4.77,44.22,2.91,2.1,14.12,6.81,6.47,2.97,6.64,1.97,Low
39.35,312.5,58.81,910.38,10.25,47.83,2.91,7.75,9.88,9.63,15.27,7.66,12.45,9.54,Low
47.34,320.49,51.39,932.51,4.98,59.87,2.91,7.64,8.41,7.18,7.9,6.43,7.54,4.85,Low
49.62,322.77,78.42,940.19,18.55,68.41,2.91,2.59,9.9,21.5,20.99,2.56,21.24,5.44,Low
52.45,325.6,84.44,947.48,28.34,60.91,2.91,3.31,13.3,16.35,39.19,4.4,27.77,12.22,Low
52.36,325.51,30.59,947.5,9.08,48.99,2.91,2.94,11.44,5.95,15.66,3.36,10.8,3.63,Low
40.16,313.31,37.23,912.03,7.07,55.5,2.91,3.77,5.12,7.68,7.4,1.93,7.54,1.46,Low
47.01,320.16,79.48,930.23,17.16,58.63,2.91,7.66,9.39,10.13,21.36,7.19,15.75,11.32,Low
37.86,311.01,69.28,905.77,7.5,67.71,2.91,5.68,11.45,4.89,13.29,6.5,9.09,5.91,Low
50.65,323.8,69.96,942,25.14,68.35,2.91,3.12,10.4,21.82,28.22,3.24,25.02,8.11,Low
58.05,331.2,48.85,965.19,7.76,30.49,2.91,4.34,14.38,8.46,14.14,6.24,11.3,7.05,Low
59.85,333,64.32,970.01,9.83,35.92,2.91,5.56,7.37,5.35,14.58,4.1,9.96,4.08,Low
42.76,315.91,40.76,920.19,1.48,42.49,2.91,3.92,6.8,0.88,2.29,2.67,1.58,0.42,Low
47.25,320.4,48,933.42,10.24,37.03,2.91,3.57,6.92,11.85,10.51,2.47,11.18,2.76,Low
52.31,325.46,51.35,948.54,5.19,46.57,2.91,5.16,14.88,6.22,7.3,7.68,6.76,5.19,Low
50.3,323.45,45.29,940.98,17.26,42.16,2.91,3.7,5.22,9.41,19.01,1.93,14.21,2.74,Low
56.64,329.79,37.75,959.24,10.96,67.25,2.91,4.33,9.72,10.39,13.24,4.21,11.82,4.98,Low
47.04,320.19,56.98,930.26,16.67,34.97,2.91,4.35,13.32,13.54,20.74,5.79,17.14,9.92,Low
48.73,321.88,36.28,935.97,26.7,62.26,2.91,4.81,4.32,39.75,31.96,2.08,35.86,7.46,Low
45.66,318.81,52.31,927.72,5.36,43.42,2.91,5.73,12.26,6.27,9.84,7.02,8.05,5.65,Low
51.17,324.32,55.04,944.97,34.26,38.58,2.91,1.93,9.74,23.76,55.21,1.88,39.48,7.42,Low
49.28,322.43,38.57,937.83,5.57,43.29,2.91,6.83,9.52,7.66,6.56,6.5,7.11,4.62,Low
40.96,314.11,43.6,914.32,33.09,49.66,2.91,2.56,10.78,30.87,37.53,2.76,34.2,9.44,Low
54.39,327.54,74.02,954.26,26.43,52.56,2.91,3.3,7.17,31.19,32.09,2.37,31.64,7.5,Low
59.06,332.21,63.22,965.82,15.37,47.2,2.91,5.63,9.31,17.38,27.01,5.24,22.2,11.63,Low
38.5,311.65,61.02,905.94,3.76,58.14,2.91,6.2,13.67,4.39,6.34,8.48,5.37,4.55,Low
45.48,318.63,55.59,925.96,16.19,32.28,2.91,5.39,11.17,15.12,20.42,6.02,17.77,10.7,Low
39.74,312.89,71.8,910.63,14.63,45.35,2.91,8.31,5.78,17.74,16.48,4.8,17.11,8.21,Low
55.05,328.2,82.83,955.08,15.44,68.55,2.91,4.83,14.25,12.73,15.92,6.88,14.32,9.85,Low
42.82,315.97,83.47,920.21,11.96,39.67,2.91,8.45,7.69,13.01,15.33,6.5,14.17,9.21,Low
45.08,318.23,74.23,927.59,11.98,58.5,2.91,7.11,6.43,10.63,19.01,4.57,14.82,6.77,Low
48.09,321.24,52.43,935.58,19.38,45.97,2.91,2.3,14.46,24.05,30.01,3.33,27.03,9,Low
38.75,311.9,51.56,906.12,3.29,54.57,2.91,5.15,5.83,3.82,5.65,3,4.74,1.42,Low
40.68,313.83,72.21,914.8,10.44,33.15,2.91,2.96,11.73,10.52,11.99,3.47,11.25,3.9,Low
39.87,313.02,56.02,910.6,21.39,37.79,2.91,7.27,6.62,11.64,28.87,4.81,20.26,9.75,Low
40.65,313.8,64.51,912.34,15.65,38.52,2.91,4.1,10.27,22,22.2,4.21,22.1,9.3,Low
52.8,325.95,57.28,947,33.87,68.32,2.91,2.1,12.13,34.15,47.32,2.55,40.73,10.39,Low
37.21,310.36,50.51,903.68,12.03,31.8,2.91,7.01,9.9,8.86,18.89,6.94,13.88,9.63,Low
48.15,321.3,71.65,933.85,9.47,57.49,2.91,2.72,14.96,5.99,13.76,4.07,9.88,4.02,Low
44.67,317.82,75.29,924.49,13.77,37.23,2.91,4.12,9.87,11.19,20.61,4.07,15.9,6.47,Low
40.63,313.78,76.66,913.58,4.92,54.03,2.91,8.73,10.09,5,6.83,8.81,5.92,5.22,Low
36.29,309.44,46.85,900.74,14.11,47.06,2.91,6.38,8.57,9.49,19.15,5.47,14.32,7.83,Low
45.14,318.29,57.12,925.68,3.71,47.46,2.91,2.35,7.82,2.19,5.22,1.84,3.71,0.68,Low
49.59,322.74,78.31,938.56,6.26,41.2,2.91,5.74,8.95,9.06,9.08,5.14,9.07,4.66,Low
59.44,332.59,61.51,968.89,7.47,48.08,2.91,5.86,8.25,5.88,14.5,4.83,10.19,4.92,Low
37.12,310.27,61.89,903.8,28.63,67.62,2.91,4.44,7.36,35.82,35.52,3.27,35.67,11.66,Low
49.52,322.67,45.33,938.69,10.46,53.94,2.91,4.71,14.06,13.92,18.49,6.62,16.2,10.72,Low
57.22,330.37,46.51,960.86,12.01,50.37,2.91,2.99,10.94,8.33,18.74,3.27,13.54,4.43,Low
37.63,310.78,84.26,905,1.06,58.17,2.91,8.74,13.13,1.54,1.14,11.48,1.34,1.54,Low
38,311.15,62.54,904,22.87,50.9,2.91,3.52,7.53,28.62,38.85,2.65,33.73,8.94,Low
40.25,313.4,32.01,913.44,20.03,33.28,2.91,3.77,11.2,14.12,31.99,4.22,23.05,9.73,Low
48.48,321.63,37.64,934.88,13.05,37.42,2.91,7.68,11.75,14.49,13.64,9.02,14.07,12.69,Low
55.95,329.1,41.52,956.17,8.57,39.56,2.91,5.36,6.9,7.27,16.79,3.7,12.03,4.45,Low
39.35,312.5,34.15,909.25,13.84,53.25,2.91,5.67,5.13,11.74,24.04,2.91,17.89,5.21,Low
59.74,332.89,46.23,967.24,9.01,61.13,2.91,3.02,13.43,9.76,9.52,4.06,9.64,3.91,Low
46.83,319.98,63.24,930.45,5.76,68.7,2.91,7.75,8.82,7.42,11.04,6.84,9.23,6.31,Low
53.89,327.04,34.93,950.59,16.92,46.09,2.91,3.15,13.05,22.02,26.07,4.11,24.05,9.88,Low
56.76,329.91,81.6,959.5,12.65,56.09,2.91,2.52,10.96,17.32,18.07,2.76,17.7,4.89,Low
59.53,332.68,41.85,969,9.94,56.87,2.91,4.62,5.09,14.77,10.44,2.35,12.61,2.96,Low
47.56,320.71,54.32,932.06,11.54,44.04,2.91,4.58,13.62,9.99,13.2,6.24,11.59,7.23,Low
56.79,329.94,30.04,960.96,19.23,58.17,2.91,5.92,12.69,12.18,31.81,7.51,21.99,16.51,Medium
40.51,313.66,48.89,912.51,33.13,53.33,2.91,3.84,13.93,28.45,55.31,5.35,41.88,22.41,Medium
45.27,318.42,35.37,925.25,20.11,61.81,2.91,7.92,13.26,13.09,28.08,10.5,20.59,21.62,Medium
49.25,322.4,55.93,938.8,21.06,40.76,2.91,6.03,8.75,21.39,30.69,5.28,26.04,13.75,Medium
37.4,310.55,56.54,904.95,18.71,69.49,2.91,7.71,8.18,21.42,21.72,6.31,21.57,13.61,Medium
44.65,317.8,39.02,923.43,33.76,37.85,2.91,7.06,6.81,42.92,37.02,4.81,39.97,19.23,Medium
49.83,322.98,42.96,938.7,23.27,41.8,2.91,6.49,12.61,14.83,33.86,8.18,24.34,19.91,Medium
36.6,309.75,50.3,902.22,29.81,66.63,2.91,8.73,7.31,20.37,43.6,6.38,31.98,20.4,Medium
55.75,328.9,76.36,956.32,18.22,51.65,2.91,6.87,13.21,9.8,25.99,9.08,17.89,16.24,Medium
45.76,318.91,47.42,926.81,27.81,33.84,2.91,4.12,12.46,25.49,45.3,5.13,35.39,18.16,Medium
41.64,314.79,62.13,917.29,26.57,60.61,2.91,6.31,11.09,27.1,35.9,7,31.5,22.05,Medium
53.04,326.19,30.7,949.25,22.74,65.13,2.91,6.49,11.76,18.44,25.52,7.63,21.98,16.77,Medium
45.76,318.91,65.55,928.59,38.82,59.45,2.91,6.03,7.29,55.67,59.32,4.4,57.5,25.3,Medium
37.46,310.61,63.22,903.31,19.86,49.01,2.91,8.71,7.46,19.55,25.16,6.5,22.36,14.53,Medium
41.62,314.77,89.31,915.55,24.48,44.04,2.91,4.76,11.28,29.68,43.36,5.37,36.52,19.61,Medium
51.77,324.92,71.26,945.55,32.05,43.76,2.91,4.85,9.55,20.52,62.85,4.63,41.69,19.3,Medium
44.66,317.81,87.71,923.89,31.33,34.8,2.91,6.15,8.35,45.82,42.07,5.14,43.95,22.59,Medium
47.6,320.75,50.23,934.59,37.97,67.32,2.91,2.65,9.61,56.09,75.46,2.55,65.78,16.77,Medium
44.01,317.16,33.6,921.86,21.44,58.69,2.91,6.5,6.99,26.27,33.88,4.54,30.08,13.66,Medium
56.73,329.88,41.35,959.36,32.43,55.42,2.91,5.19,5.92,48.04,62.47,3.07,55.25,16.96,Medium
54.86,328.01,75.06,953.53,17.35,36.39,2.91,5.55,12.47,23.84,23.09,6.92,23.46,16.23,Medium
40.5,313.65,63.8,913.31,12.64,63,2.91,7.54,13.76,13.79,20.1,10.38,16.95,17.59,Medium
51.44,324.59,81.46,945.91,30.46,33.98,2.91,4.23,15.22,23.03,42.81,6.44,32.92,21.2,Medium
54.36,327.51,76.49,952.54,35.94,64.86,2.91,6.13,8.34,39.93,58.2,5.11,49.06,25.07,Medium
36.57,309.72,34.47,901.89,24.25,36.04,2.91,7.87,8.5,20.22,32.58,6.69,26.4,17.66,Medium
57.16,330.31,68.98,959.7,26.93,62.06,2.91,4.12,15.34,31.48,38.31,6.32,34.9,22.06,Medium
49.15,322.3,73.47,938.04,21.2,68.8,2.91,5.38,10.29,11.21,42.39,5.54,26.8,14.85,Medium
51.32,324.47,54.36,945.63,39.41,50.9,2.91,5.59,13.68,24.25,42.11,7.65,33.18,25.38,Medium
51.71,324.86,35.32,943.95,21.79,31.09,2.91,5.72,8.8,19.85,34.2,5.03,27.03,13.6,Medium
49.27,322.42,44.28,937.86,21.42,52.8,2.91,6.44,8.88,16.57,36.68,5.72,26.62,15.23,Medium
47.62,320.77,84.02,934.4,36.42,63.77,2.91,2.45,15.48,38.59,52.42,3.79,45.51,17.25,Medium
39.49,312.64,64.82,909.08,27.03,49.84,2.91,7.06,6.04,36.98,42.9,4.26,39.94,17.01,Medium
58.02,331.17,34.8,962.35,29.03,62.46,2.91,4.78,11.51,33.68,30.83,5.5,32.25,17.74,Medium
48.01,321.16,32.14,934.58,28.99,62.09,2.91,6.3,6.85,22.96,55.11,4.32,39.03,16.86,Medium
47.77,320.92,63.48,934.37,19.98,60.04,2.91,7.04,11.69,16.62,24.48,8.23,20.55,16.91,Medium
43.31,316.46,67.12,922.19,35.07,34.54,2.91,5.5,8.38,38.81,68.93,4.61,53.87,24.83,Medium
45.64,318.79,47.19,928.42,31.57,52.65,2.91,2.73,12.44,39.53,60.67,3.4,50.1,17.03,Medium
45.47,318.62,58.86,927.1,21.94,32.72,2.91,6.67,10.86,15.61,22.84,7.24,19.23,13.92,Medium
53.54,326.69,78.07,952.03,12.19,57.51,2.91,7.08,13.69,9.39,18.41,9.69,13.9,13.47,Medium
47.36,320.51,71.87,936.96,30.92,35.34,2.92,6.64,15.56,37.98,53.56,10.33,45.77,47.28,Extreme
35.89,309.04,80.2,901.86,36.54,60.05,2.92,8.25,10.87,39.46,61.03,8.97,50.25,45.07,Extreme
56.42,329.57,69.74,963.47,38.02,59.37,2.92,6.1,12.84,31.04,44.03,7.83,37.53,29.39,High
54.2,327.35,84.54,955.46,30.79,35.84,2.92,5.27,16.29,39.41,42.53,8.58,40.97,35.15,High
43.81,316.96,88.53,926.53,26.67,62.5,2.92,7.09,9.54,36.11,50.1,6.76,43.11,29.14,High
56.92,330.07,62.6,963,32.73,43.61,2.92,4.99,13.96,32,48.9,6.97,40.45,28.19,High
35.78,308.93,81.23,900.95,33.19,58.18,2.92,8.49,13.95,25.06,47.61,11.84,36.34,43.03,High
42.81,315.96,63.26,924.09,26.43,35.34,2.92,7.76,15.38,20.03,27.54,11.93,23.79,28.38,High
44.82,317.97,83.45,929.46,38.35,65.24,2.92,5.92,9.49,28.68,75.79,5.62,52.23,29.35,High
52.59,325.74,71.92,951.61,37.77,66.81,2.92,4.79,12.75,35.57,65.14,6.11,50.36,30.77,High
38.18,311.33,46.24,910.52,39.93,49.81,2.92,6.82,11.26,35.02,74.12,7.68,54.57,41.91,High
42.34,315.49,44.47,919.8,29.29,40.43,2.92,8.31,7.74,36.75,51.43,6.43,44.09,28.35,High
48.58,321.73,43.33,940.38,21.24,38.85,2.92,4.64,11.25,18.4,29.05,5.22,23.73,12.39,Low
47.4,320.55,62.79,935.81,23.27,60.35,2.92,0.65,15.11,27.68,26.16,0.98,26.92,2.64,Low
45.33,318.48,47.86,931.48,33.76,60.2,2.92,1.5,10.25,43.1,59.75,1.54,51.42,7.92,Low
55.79,328.94,70.19,962.12,11.96,66.31,2.92,4.76,10.38,9,14.67,4.94,11.84,5.85,Low
41.13,314.28,42.85,917.41,17.82,32.35,2.92,2.94,13.95,23.51,23.65,4.1,23.58,9.67,Low
35.06,308.21,45.75,900.83,31.16,54.85,2.92,3.4,9.36,42.94,34.84,3.18,38.89,12.37,Low
42.08,315.23,36.34,921.37,7.8,39.31,2.92,6.28,13.01,10.47,15.41,8.17,12.94,10.57,Low
53.01,326.16,89.9,951.85,2.63,56.11,2.92,5.75,13.88,1.36,5.25,7.98,3.31,2.64,Low
38.83,311.98,64.65,911.97,17.54,43.71,2.92,5.36,6.3,23.83,29.47,3.38,26.65,9.01,Low
38.32,311.47,40.76,908.28,1.17,46.3,2.92,5.72,10.03,0.74,2.16,5.74,1.45,0.83,Low
44.86,318.01,45.53,930.11,3.34,54.15,2.92,4.49,10.85,4.94,4.9,4.87,4.92,2.4,Low
45.02,318.17,48.38,928.84,5.45,34.32,2.92,3.25,5.58,3.66,5.62,1.81,4.64,0.84,Low
46.97,320.12,48.96,935.05,19.29,46.17,2.92,6.11,7.59,12.49,25.92,4.64,19.21,8.91,Low
57.67,330.82,73.38,965.74,3.14,44.67,2.92,2.92,12.63,1.65,5.61,3.69,3.63,1.34,Low
37.36,310.51,30.78,906.53,7.25,35.05,2.92,8.24,6.84,3.96,8.56,5.64,6.26,3.53,Low
45.44,318.59,80.17,928.69,2.01,53.3,2.92,5.87,6.87,2.96,3.86,4.03,3.41,1.37,Low
38.77,311.92,48.32,911.76,11.2,37.49,2.92,5.68,10.82,10.93,19.47,6.15,15.2,9.35,Low
58.96,332.11,70.16,970.86,21.74,66.95,2.92,1.95,8.91,28.86,32.85,1.74,30.86,5.37,Low
41.82,314.97,61.15,919.49,8.41,32.39,2.92,5.49,8.73,7.84,9.25,4.79,8.54,4.09,Low
40.29,313.44,75.88,915.09,21.11,69.92,2.92,7.04,7.22,13.62,27.07,5.08,20.34,10.33,Low
42.32,315.47,51.25,920.62,16.29,40.18,2.92,6.46,9.28,15.62,19.4,5.99,17.51,10.49,Low
41.27,314.42,30.83,917.45,8.89,52.94,2.92,3.03,12.52,9.14,12.04,3.79,10.59,4.01,Low
51.18,324.33,75.07,945.83,2.44,33.41,2.92,5.48,11.25,2.01,4.46,6.17,3.23,1.99,Low
39.83,312.98,62.69,915.33,6.3,32.23,2.92,4.44,7.51,9.05,7.55,3.33,8.3,2.76,Low
46.11,319.26,44.48,933.19,27.27,46.27,2.92,0.48,9.59,32.13,33.27,0.46,32.7,1.5,Low
59.34,332.49,89.19,969.98,16.89,61.72,2.92,1.46,13.19,10.96,18.77,1.93,14.87,2.87,Low
59.12,332.27,84.88,971.43,14,45.04,2.92,4.99,9.45,9.18,22.36,4.72,15.77,7.44,Low
39.05,312.2,49.79,912.8,21.49,31.26,2.92,4.26,8.03,27.72,23.76,3.42,25.74,8.8,Low
52.35,325.5,86.39,950.32,11.39,61.51,2.92,6.84,9.06,15.8,21.67,6.2,18.73,11.61,Low
38.71,311.86,89.09,909.98,26.48,39.69,2.92,5.09,9.06,26.16,30.27,4.61,28.21,13,Low
59.2,332.35,88.56,972.08,8.62,61.8,2.92,4.37,12.55,7.49,13.41,5.48,10.45,5.73,Low
45.92,319.07,60.92,930.79,3.79,35.14,2.92,7.04,12.84,5,4.31,9.04,4.65,4.2,Low
46.83,319.98,36.72,935.48,20.41,55.74,2.92,6.43,7.15,27.24,20.53,4.6,23.88,10.98,Low
56.05,329.2,58.02,959.68,19.35,59.89,2.92,2.85,14.31,27.94,26.38,4.08,27.16,11.08,Low
54.6,327.75,70.59,956.41,18.25,46.29,2.92,6.18,8.36,26.48,20.83,5.17,23.66,12.23,Low
55.86,329.01,41.48,960.7,1.59,54.92,2.92,5.99,6.3,2.3,1.9,3.77,2.1,0.79,Low
47.19,320.34,75.8,934.42,30.25,42.27,2.92,1.99,9.24,15.34,31.99,1.84,23.66,4.35,Low
46.58,319.73,66.09,935.07,35.16,69.68,2.92,4.27,6.98,40.11,40.86,2.98,40.48,12.06,Low
45.93,319.08,38.19,932.52,5.2,52.39,2.92,4.23,8.8,3.86,6.21,3.72,5.04,1.87,Low
50.11,323.26,70.21,942.35,27.51,46.69,2.92,2.93,7.6,31.23,53.52,2.23,42.38,9.45,Low
40.87,314.02,60.81,918.16,36.92,42.19,2.92,2.82,8.9,39.02,64.54,2.51,51.78,13,Low
37.66,310.81,62.91,907.55,17.34,53.29,2.92,3,9.48,15.8,26.95,2.84,21.38,6.07,Low
51.83,324.98,82.73,947.77,7.58,38.26,2.92,4.84,16.88,3.86,8.97,8.17,6.42,5.25,Low
55.14,328.29,84.21,959.29,18.83,58.82,2.92,2.4,9.39,12.94,24.19,2.25,18.57,4.18,Low
44.4,317.55,76.96,928.83,11.32,51.64,2.92,4.14,11.82,11.01,16.14,4.89,13.57,6.64,Low
59.89,333.04,55.25,972.58,14.98,41.53,2.92,3.31,14.01,22.45,20.39,4.64,21.42,9.94,Low
58.69,331.84,63.49,969.06,7.81,40.83,2.92,2.73,9.7,5.37,12.04,2.65,8.71,2.31,Low
55.01,328.16,33.8,959.47,16.2,68.92,2.92,5.56,10.93,12.02,30.73,6.08,21.38,13,Low
47.05,320.2,36.47,933.44,26.09,66.79,2.92,7.33,6.14,13.63,37.99,4.5,25.81,11.61,Low
39.86,313.01,65.22,913.58,7.68,64.86,2.92,5.85,15.22,11.07,13.37,8.9,12.22,10.88,Low
35.4,308.55,54.6,901.11,4.17,36.89,2.92,4.92,8.65,3.69,4.42,4.26,4.05,1.73,Low
38.15,311.3,75.98,908.37,28.24,36.66,2.92,4.35,6.42,35.5,51.97,2.79,43.73,12.2,Low
43.84,316.99,56.44,925.41,6.67,38.36,2.92,7.29,5.13,9.13,10.08,3.74,9.61,3.59,Low
49.23,322.38,79.68,940.98,9.08,32.51,2.92,3.9,8.89,11.24,14.5,3.47,12.87,4.47,Low
52.22,325.37,34.59,951.45,18.03,65.48,2.92,6.54,5.39,9.26,34.95,3.53,22.11,7.8,Low
44.37,317.52,41.63,927.93,18.25,35.35,2.92,3.85,9.73,11.12,30.3,3.75,20.71,7.77,Low
41.94,315.09,76.3,920.72,22.97,33.02,2.92,5.5,6.83,12.16,30.99,3.76,21.57,8.11,Low
40.66,313.81,40.34,917.79,6.1,68.89,2.92,1.16,12.6,3.1,7.37,1.46,5.24,0.77,Low
40.61,313.76,46.6,914.86,9.62,63.57,2.92,5.05,9.33,10,16.01,4.71,13.01,6.13,Low
53.58,326.73,37.89,955.44,6.36,68.33,2.92,2.31,9.16,5.69,8.73,2.12,7.21,1.53,Low
36.03,309.18,33.09,902.94,23.27,69.56,2.92,3.83,3.93,23.43,39.2,1.51,31.32,4.73,Low
43.05,316.2,57.76,922.26,13.45,62.32,2.92,7.43,10.17,14.3,14.93,7.56,14.62,11.05,Low
44.75,317.9,46.68,927.92,36.14,40.29,2.92,6.96,6.32,33.29,59.89,4.4,46.59,20.5,Medium
44.54,317.69,64.94,926.56,17.44,37.3,2.92,5.12,14.78,26.1,19.37,7.57,22.73,17.21,Medium
53.54,326.69,45.85,954.49,23.96,57.11,2.92,4.64,13.29,24.98,41.48,6.17,33.23,20.5,Medium
57.56,330.71,62.3,964.86,35.38,36.95,2.92,2.85,14.77,40.94,61.92,4.21,51.43,21.65,Medium
59.27,332.42,64.16,970.42,32.35,66.68,2.92,5.59,13.98,27.63,33.13,7.81,30.38,23.73,Medium
49.77,322.92,43.01,943,34.26,65.87,2.92,5.29,11.69,46.86,39.18,6.18,43.02,26.59,Medium
46.18,319.33,56.95,931.19,34.63,68.61,2.92,5.92,10.13,45.01,38.35,6,41.68,25.01,Medium
38.14,311.29,63.88,908,23.11,39.32,2.92,4.87,14.37,19.01,41.52,7,30.27,21.19,Medium
56.96,330.11,50.42,963.38,22.21,66.81,2.92,6.17,9.74,19.66,29.09,6.01,24.38,14.65,Medium
51.2,324.35,89.57,946.15,34.64,34.23,2.92,4.03,8.78,45.15,35.47,3.54,40.31,14.27,Medium
59.33,332.48,31,970.36,36.89,68.88,2.92,3.94,12.36,53.65,40.08,4.87,46.86,22.82,Medium
35.47,308.62,54.75,900.48,34.35,52.1,2.92,6.67,5.04,41.41,36.06,3.36,38.73,13.01,Medium
59.76,332.91,58.05,971.7,25.67,66.76,2.92,5.97,7.67,31.07,26.69,4.58,28.88,13.23,Medium
58.64,331.79,84.03,968.09,21.13,39.22,2.92,4.55,15.93,16.17,35.4,7.25,25.79,18.7,Medium
40.3,313.45,39.57,916.24,11.05,50.45,2.92,8.41,12.5,13.59,15.01,10.51,14.3,15.03,Medium
36.11,309.26,48.92,902.77,20.47,53.49,2.92,7.41,7.61,11.03,36.45,5.64,23.74,13.39,Medium
44.56,317.71,58.98,926.31,18.75,32.75,2.92,5.64,12.4,26.98,33.97,6.99,30.48,21.31,Medium
38.16,311.31,47.05,909.69,9.98,67.07,2.92,8.65,11.14,13.95,13.4,9.64,13.68,13.19,Medium
37.79,310.94,88.77,908.54,20.61,35.2,2.92,8.59,8.89,16.12,38.88,7.64,27.5,21.01,Medium
48.05,321.2,89.01,937.49,32.13,50.37,2.92,4.26,8.25,41.5,38.47,3.51,39.98,14.03,Medium
35.79,308.94,33.28,902.42,21.72,36.34,2.92,7.13,8.97,26.15,37.02,6.4,31.59,20.22,Medium
36.93,310.08,39.58,905.78,34.96,59.98,2.92,6.43,9.19,26.04,58.79,5.91,42.41,25.06,Medium
45.35,318.5,83.53,930.01,32.29,63.88,2.92,5.05,8.4,44.45,54.13,4.24,49.29,20.9,Medium
53.82,326.97,83.24,954.74,20.56,67.29,2.92,5.23,12.05,27.44,33.14,6.3,30.29,19.08,Medium
53.18,326.33,72.32,951.56,19.52,43.02,2.92,6.12,15.74,29.28,26.57,9.63,27.93,26.9,Medium
44.97,318.12,83.8,928.31,27.56,58.6,2.92,7.22,11.54,19.3,39.27,8.33,29.29,24.4,Medium
46.37,319.52,56.51,933.03,20.35,49.16,2.92,7.73,11.32,21.34,31.93,8.75,26.63,23.3,Medium
49.7,322.85,46.18,942.64,34.44,53.88,2.92,6.76,5.14,39.52,55.28,3.47,47.4,16.45,Medium
50.66,323.81,69.13,945.92,29.35,67.21,2.92,4.97,8.88,26.96,40.45,4.41,33.7,14.86,Medium
39.23,312.38,89.24,911.22,26.33,38.39,2.92,8.53,10.56,19.29,33.26,9.01,26.27,23.67,Medium
48.31,321.46,85.25,939.18,22.23,32.84,2.92,7.45,12.45,26.34,25.37,9.28,25.86,24,Medium
36.14,309.29,44.24,904.48,33.04,39.13,2.92,4.45,10.29,43.16,37.47,4.58,40.31,18.46,Medium
54.68,327.83,66.69,956.3,23.02,60.59,2.92,6.78,7.76,33.75,32.99,5.26,33.37,17.55,Medium
52.03,325.18,59.01,948.09,30.15,68.67,2.92,4.54,15.36,34.19,43.42,6.97,38.8,27.04,Medium
43.38,316.53,86.6,924.94,22.11,69.11,2.92,6.89,8.3,24.96,39.27,5.72,32.12,18.37,Medium
57.81,330.96,44.36,966.45,35.63,37.06,2.92,5.75,12.12,22.53,48.15,6.97,35.34,24.63,Medium
47.95,321.1,76.66,937.11,34.15,68.26,2.92,4.14,13.28,32.11,39.3,5.5,35.7,19.64,Medium
59.51,332.66,45.11,972.81,31.16,38.31,2.92,6.24,5.34,33.57,53.56,3.33,43.56,14.51,Medium
48.22,321.37,33.25,936.84,19.69,40.88,2.92,5.66,12.14,15.74,31.95,6.87,23.84,16.38,Medium
59.94,333.09,79.12,973.57,39.39,46.65,2.92,4.24,9.62,58.73,61.42,4.08,60.08,24.51,Medium
35.88,309.03,71.58,901.78,35.2,34.08,2.92,7.77,7.27,44.9,36.59,5.65,40.75,23.02,Medium
35.27,308.42,77.14,901.11,20.62,55.1,2.92,3.61,13.88,16.81,40.91,5.01,28.86,14.46,Medium
54.59,327.74,52.55,957.56,16.55,36.83,2.92,6.59,12.86,21.76,17.17,8.47,19.47,16.49,Medium
56.27,329.42,73.29,963,31.67,56.48,2.92,5.24,12.41,20.05,49.96,6.5,35.01,22.76,Medium
